product_id,product_name,category,brand,price,rating,stock,discount
2001,IdeaPad Slim 3,Laptop,Lenovo,48999,4.2,18,10
2002,Inspiron 15,Laptop,Dell,55999,4.3,12,12
2003,Pavilion 14,Laptop,HP,64999,4.4,9,15
2004,Vivobook 15,Laptop,ASUS,52999,4.1,21,8
2005,Galaxy Book4,Laptop,Samsung,71999,4.5,7,18
2006,MacBook Air M2,Laptop,Apple,89999,4.7,6,10
2007,ThinkPad E14,Laptop,Lenovo,67999,4.6,11,14
2008,Aspire 5,Laptop,Acer,57999,4.0,15,20
2009,Galaxy S24,Mobile,Samsung,74999,4.6,14,12
2010,iPhone 15,Mobile,Apple,69999,4.7,10,8
2011,Pixel 8,Mobile,Google,58999,4.5,8,15
2012,OnePlus 12,Mobile,OnePlus,64999,4.4,17,10
2013,Nothing Phone 2,Mobile,Nothing,39999,4.2,22,18
2014,Moto Edge 50,Mobile,Motorola,29999,4.1,26,20
2015,Redmi Note 13 Pro,Mobile,Xiaomi,27999,4.3,31,22
2016,Nord CE 4,Mobile,OnePlus,24999,4.2,19,15
2017,WH-1000XM5,Headphones,Sony,29999,4.7,13,16
2018,QuietComfort 45,Headphones,Bose,26999,4.6,8,12
2019,AirPods Pro 2,Headphones,Apple,24999,4.7,16,10
2020,Galaxy Buds2 Pro,Headphones,Samsung,11999,4.4,24,20
2021,Tune 770NC,Headphones,JBL,6999,4.3,35,25
2022,Soundcore Q20i,Headphones,Anker,5999,4.2,29,18
2023,HD 450BT,Headphones,Sennheiser,10999,4.5,11,15
2024,MX Keys Mini,Keyboard,Logitech,9499,4.6,20,12
2025,K2 Mechanical,Keyboard,Keychron,8999,4.5,14,10
2026,MK850 Combo,Keyboard,Logitech,7999,4.4,18,15
2027,BlackWidow V3,Keyboard,Razer,11999,4.5,9,20
2028,K100 RGB,Keyboard,Corsair,17999,4.7,6,18
2029,CK550 V2,Keyboard,Cooler Master,6999,4.2,23,22
2030,G413 SE,Keyboard,Logitech,6499,4.1,27,17
2031,UltraGear 27GN800,Monitor,LG,29999,4.6,10,15
2032,Odyssey G5,Monitor,Samsung,27999,4.5,7,12
2033,S2721DGF,Monitor,Dell,31999,4.7,8,18
2034,Nitro VG271U,Monitor,Acer,24999,4.3,16,20
2035,TUF VG27AQ,Monitor,ASUS,28999,4.4,12,10
2036,M27Q,Monitor,Gigabyte,26999,4.5,15,16
2037,Mobiuz EX2710Q,Monitor,BenQ,33999,4.6,5,14
2038,iPad Air,Tablet,Apple,59999,4.7,9,10
2039,Galaxy Tab S9,Tablet,Samsung,57999,4.6,12,15
2040,Pixel Tablet,Tablet,Google,49999,4.4,7,18
2041,OnePlus Pad 2,Tablet,OnePlus,39999,4.5,14,12
2042,Xiaomi Pad 6,Tablet,Xiaomi,29999,4.3,20,20
2043,Lenovo Tab P12,Tablet,Lenovo,32999,4.2,18,17
2044,Galaxy Tab A9+,Tablet,Samsung,21999,4.4,25,22
2045,USB-C Hub 7-in-1,Accessories,Anker,3499,4.5,42,20
2046,65W GaN Charger,Accessories,UGREEN,2999,4.6,37,15
2047,MX Master 3S,Accessories,Logitech,8999,4.7,13,12
2048,Portable SSD 1TB,Accessories,Samsung,9999,4.6,16,18
2049,Laptop Stand,Accessories,Portronics,1499,4.2,55,25
2050,Webcam C920,Accessories,Logitech,6999,4.4,19,20
